"class","fieldtypes","rid","type","version","administrativearealevel1","administrativearealevel2","country","formattedaddress","in_drive_from","in_drive_to","in_has_address","latitude","locality","longitude","place_id","postalcode","route","slug","streetnumber"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:0","d","2","Auvergne-Rhône-Alpes","Rhône","FR","27 Rue de la Doua, 69100 Villeurbanne, France","[""#91:729"",""#92:1089"",""#92:366""]","null","[""#76:240""]","45.7772809","Villeurbanne","4.874534500000001","ChIJPQv6G57q9EcRQV5_yI7qLCA","69100","Rue de la Doua","27-rue-de-la-doua-69100-villeurbanne-france","27"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:1","d","2","Auvergne-Rhône-Alpes","Rhône","FR","5 Rue du Signal, 69510 Messimy, France","[""#91:13"",""#91:744"",""#91:1402""]","null","[""#77:11"",""#75:942""]","45.6972099","Messimy","4.675112899999999","EiY1IFJ1ZSBkdSBTaWduYWwsIDY5NTEwIE1lc3NpbXksIEZyYW5jZSIwEi4KFAoSCTuQa2fM8fRHEQm4Mhd8kUA-EAUqFAoSCX_vj2DM8fRHEbZKQVJtydFw","69510","Rue du Signal","5-rue-du-signal-69510-messimy-france","5"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:2","d","1","Auvergne-Rhône-Alpes","Rhône","FR","57 Chemin des Hermières, 69340 Francheville, France","null","[]","null","45.7499992","Francheville","4.7658484","EjQ1NyBDaGVtaW4gZGVzIEhlcm1pw6hyZXMsIDY5MzQwIEZyYW5jaGV2aWxsZSwgRnJhbmNlIjASLgoUChIJmZwRB2vs9EcRE_CSTRskayYQOSoUChIJTUBklhPs9EcRF4t9ZeCYyzw","69340","Chemin des Hermières","57-chemin-des-hermieres-69340-francheville-france","57"
"Address","in_drive_to=g,in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:3","d","2","Auvergne-Rhône-Alpes","Rhône","FR","50 Rue de la Villette, 69003 Lyon, France","[""#92:410"",""#92:1132""]","[""#95:762"",""#97:1140""]","[""#74:789""]","45.7596088","Lyon","4.8614878","ChIJd5kZuHzq9EcRMnpYZy63SNk","69003","Rue de la Villette","50-rue-de-la-villette-69003-lyon-france","50"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:4","d","1","Auvergne-Rhône-Alpes","Rhône","FR","Polyclinique Lyon-Nord, 65 Rue des Contamines, 69140 Rillieux-la-Pape, France","null","[]","null","45.8204496","Rillieux-la-Pape","4.887470899999999","ChIJq-rOl96_9EcRfFyCNtxj1Nw","69140","Rue des Contamines","polyclinique-lyon-nord-65-rue-des-contamines-69140-rillieux-la-pape-france","65"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:5","d","2","Auvergne-Rhône-Alpes","Rhône","FR","9 Rue du Bochu, 69340 Francheville, France","[""#93:142""]","null","[""#74:506"",""#74:26"",""#74:592""]","45.7368678","Francheville","4.7580323","ChIJd_Gl4iLs9EcRKk04KdrnSUU","69340","Rue du Bochu","9-rue-du-bochu-69340-francheville-france","9"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:6","d","2","Auvergne-Rhône-Alpes","Rhône","FR","2 Chemin de Calabert, 69130 Écully, France","[]","null","[""#77:515""]","45.77552079999999","Écully","4.770287199999999","EisyIENoZW1pbiBkZSBDYWxhYmVydCwgNjkxMzAgw4ljdWxseSwgRnJhbmNlIjASLgoUChIJL-gKgpLs9EcRIM3n_N4ONZwQAioUChIJI_wLK-3s9EcRSv0zvaO83T4","69130","Chemin de Calabert","2-chemin-de-calabert-69130-ecully-france","2"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:7","d","2","Auvergne-Rhône-Alpes","Rhône","FR","Lotissement la Vue des Alpes, 69670 Vaugneray, France","[""#93:1115""]","null","[""#74:486""]","45.7308506","Vaugneray","4.665594699999999","ChIJKzeOUIjx9EcRyXl-wtLbBqs","69670","Lotissement la Vue des Alpes","lotissement-la-vue-des-alpes-69670-vaugneray-france","null"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:8","d","2","Auvergne-Rhône-Alpes","Rhône","FR","111 Place Andrée-Marie Perrin, 69290 Craponne, France","null","[""#94:368"",""#95:139"",""#96:531"",""#97:173""]","null","45.7463461","Craponne","4.7233693","ChIJI0q6PcHt9EcRcjrwxwtTl4w","69290","Place Andrée-Marie Perrin","111-place-andree-marie-perrin-69290-craponne-france","111"
"Address","in_drive_from=g,in_has_address=g,latitude=d,longitude=d","#18:9","d","2","Auvergne-Rhône-Alpes","Rhône","FR","22 Route des Pierres Blanches, 69290 Grézieu-la-Varenne, France","[]","null","[""#75:245"",""#74:276""]","45.7508259","Grézieu-la-Varenne","4.704451199999999","ChIJidzIqIzt9EcRqK8nZHbyX08","69290","Route des Pierres Blanches","22-route-des-pierres-blanches-69290-grezieu-la-varenne-france","22"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:10","d","2","Auvergne-Rhône-Alpes","Rhône","FR","1195 Avenue Marcel Mérieux, 69280 Marcy-l'Étoile, France","[]","null","[""#76:508""]","45.7803464","Marcy-l'Étoile","4.7060184","ChIJi8CI42Lt9EcRcHMNxMV2eKE","69280","Avenue Marcel Mérieux","1195-avenue-marcel-merieux-69280-marcy-letoile-france","1195"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:11","d","2","Auvergne-Rhône-Alpes","Rhône","FR","3 Rue Victor Hugo, 69700 Givors, France","[""#93:0""]","null","[""#75:488""]","45.5875166","Givors","4.7707589","ChIJG5-4YLrm9EcR4iKnF1i_1Ns","69700","Rue Victor Hugo","3-rue-victor-hugo-69700-givors-france","3"
"Address","in_drive_from=g,latitude=d,longitude=d","#18:12","d","1","Auvergne-Rhône-Alpes","Rhône","FR","20 Chemin de Beaunant, 69230 Saint-Genis-Laval, France","[]","null","null","45.7049442","Saint-Genis-Laval","4.7825122","ChIJF3xerzbp9EcRYrL690DpYgQ","69230","Chemin de Beaunant","20-chemin-de-beaunant-69230-saint-genis-laval-france","20"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:13","d","2","Auvergne-Rhône-Alpes","Rhône","FR","50 Cours Franklin Roosevelt, 69006 Lyon, France","null","[""#97:1108"",""#97:33"",""#97:64"",""#96:93"",""#95:823"",""#97:830"",""#95:506"",""#94:149"",""#96:173"",""#97:249""]","null","45.7689855","Lyon","4.848577199999999","ChIJx19YmPPq9EcRXIds2MpGI98","69006","Cours Franklin Roosevelt","50-cours-franklin-roosevelt-69006-lyon-france","50"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:14","d","1","Bretagne","Côtes-d'Armor","FR","Avenue Saint-Jean de Dieu, 22100 Dinan, France","null","[]","null","48.4481063","Dinan","-2.0584826","ChIJ4WsyugWKDkgRF3sEHhzq-kY","22100","Avenue Saint-Jean de Dieu","avenue-saint-jean-de-dieu-22100-dinan-france","null"
"Address","in_drive_from=g,latitude=d,longitude=d,in_has_address=g","#18:15","d","2","Auvergne-Rhône-Alpes","Rhône","FR","1 Rue de la Piscine, 69360 Saint-Symphorien-d'Ozon, France","[]","null","[""#76:9""]","45.6322215","Saint-Symphorien-d'Ozon","4.8676384","ChIJV4ewC0Hd9EcRJRMWAwaBp9Q","69360","Rue de la Piscine","1-rue-de-la-piscine-69360-saint-symphorien-dozon-france","1"
"Address","in_drive_to=g,latitude=d,longitude=d","#18:16","d","2","Auvergne-Rhône-Alpes","Rhône","FR","Rue de la Camille, 69600 Oullins, France","null","[""#94:675""]","null","45.713485","Oullins","4.802014","EihSdWUgZGUgbGEgQ2FtaWxsZSwgNjk2MDAgT3VsbGlucywgRnJhbmNlIi4qLAoUChIJHy8YeWnp9EcRM6o3LxGNJJgSFAoSCQmO-pRp6fRHEVAgu-QqqwgE","69600","Rue de la Camille","rue-de-la-camille-69600-oullins-france","null"
"Address","latitude=d,longitude=d,in_has_address=g","#18:17","d","2","Auvergne-Rhône-Alpes","Rhône","FR","25 Chemin des Fonts, 69110 Sainte-Foy-lès-Lyon, France","null","null","[""#75:513""]","45.7380459","Sainte-Foy-lès-Lyon","4.7993656","ChIJ8UdTv-jr9EcRFPkK41VVB6I","69110","Chemin des Fonts","25-chemin-des-fonts-69110-sainte-foy-les-lyon-france","25"
